,r.value.fit.vectors.r,fit.vectors.pvals
Mycobacterium heidelbergense,0.035596573,0.456
Mycobacterium helveticum,0.234032669,0.007
Mycobacterium hippophais,0.02457095,0.564
Mycobacterium innocens,0.100472464,0.109
Mycobacterium interjectum,0.24710676,0.002
Mycobacterium intermedium,0.019837859,0.625
Mycobacterium intracellulare,0.357540859,0.002
Mycobacterium kansasii,0.069593645,0.212
Mycobacterium kiyosense,0.011744043,0.737
Mycobacterium kubicae,0.256831831,0.003
Mycobacterium kyogaense,0.079962181,0.184
Mycobacterium kyorinense,0.047759993,0.331
Mycobacterium lacus,0.021732439,0.601
Mycobacterium lehmannii,0.184988258,0.012
Mycobacterium lentiflavum,0.109131537,0.078
Mycobacterium leprae,0.113734364,0.064
Mycobacterium malmoense,0.010861786,0.786
Mycobacterium mantenii,0.273412429,0.002
Mycobacterium marinum,0.097720819,0.1
Mycobacterium marseillense,0.47312088,0.001
Mycobacterium montefiorense,0.053722095,0.304
Mycobacterium nebraskense,0.140426892,0.032
Mycobacterium neglectum,0.054188381,0.295
Mycobacterium neumannii,0.009369974,0.817
Mycobacterium noviomagense,0.08425881,0.144
Mycobacterium numidiamassiliense,0.109773425,0.067
Mycobacterium ostraviense,0.057774574,0.277
Mycobacterium palustre,0.172848741,0.012
Mycobacterium paraense,0.013318193,0.759
Mycobacterium paraffinicum,0.395509582,0.001
Mycobacterium paragordonae,0.130824356,0.046
Mycobacterium paraintracellulare,0.087949471,0.126
Mycobacterium parascrofulaceum,0.068214916,0.211
Mycobacterium paraseoulense,0.10969846,0.088
Mycobacterium paraterrae,0.229080945,0.002
Mycobacterium parmense,0.120105259,0.067
Mycobacterium persicum,0.128677154,0.057
Mycobacterium pinniadriaticum,0.479210824,0.001
Mycobacterium pseudokansasii,0.043188332,0.403
Mycobacterium pseudoshottsii,0.205972992,0.01
Mycobacterium rhizamassiliense,0.244063435,0.002
Mycobacterium riyadhense,0.074859563,0.198
Mycobacterium saskatchewanense,0.081761214,0.16
Mycobacterium scrofulaceum,0.210675442,0.006
Mycobacterium senriense,0.422778367,0.001
Mycobacterium seoulense,0.118266474,0.06
Mycobacterium sherrisii,0.070467294,0.202
Mycobacterium shigaense,0.371669779,0.001
Mycobacterium shimoidei,0.004203687,0.906
Mycobacterium shinjukuense,0.015014948,0.729
Mycobacterium shottsii,0.120077086,0.071
Mycobacterium simiae,0.060370262,0.266
Mycobacterium simulans,0.157111515,0.025
Mycobacterium sp.,0.142993296,0.028
Mycobacterium sp. 012931,0.407043362,0.001
Mycobacterium sp. 1081908.1,0.384557057,0.001
Mycobacterium sp. 1100029.7,0.041164881,0.365
Mycobacterium sp. 1164966.3,0.199262832,0.009
Mycobacterium sp. 1164985.4,0.024989981,0.55
Mycobacterium sp. 1165178.9,0.232416516,0.004
Mycobacterium sp. 1245111.1,0.24201999,0.003
Mycobacterium sp. 1245499.0,0.019663897,0.647
Mycobacterium sp. 1245801.1,0.067345773,0.22
Mycobacterium sp. 1245805.9,0.154433136,0.027
Mycobacterium sp. 1245852.3,0.301535854,0.002
Mycobacterium sp. 1274761.0,0.12060894,0.054
Mycobacterium sp. 141,0.11148429,0.077
Mycobacterium sp. 1423905.2,0.227672751,0.003
Mycobacterium sp. 1465703.0,0.34352073,0.001
Mycobacterium sp. 1482292.6,0.233545043,0.005
Mycobacterium sp. 155,0.120737431,0.059
Mycobacterium sp. 1554424.7,0.023382602,0.603
Mycobacterium sp. 20091114027_K0903767,0.199085964,0.009
Mycobacterium sp. 20-66-4,0.157678837,0.023
Mycobacterium sp. 21AC1,0.076405406,0.161
Mycobacterium sp. 236(2023),0.023263782,0.593
Mycobacterium sp. 29Ha,0.097797467,0.103
Mycobacterium sp. 3519A,0.077995992,0.167
Mycobacterium sp. 4858,0.1108244,0.088
Mycobacterium sp. 663a-19,0.167603673,0.031
Mycobacterium sp. 852002-10029_SCH5224772,0.452310105,0.001
Mycobacterium sp. 852002-30065_SCH5024008,0.231271116,0.001
Mycobacterium sp. 852002-40037_SCH5390672,0.338250226,0.001
Mycobacterium sp. 852002-50816_SCH5313054-b,0.286576893,0.001
Mycobacterium sp. 852002-51057_SCH5723018,0.002202166,0.963
Mycobacterium sp. 852002-51152_SCH6134967,0.172031022,0.008
Mycobacterium sp. 852002-51163_SCH5372311,0.091677996,0.119
Mycobacterium sp. 852002-51961_SCH5331710,0.052962218,0.297
Mycobacterium sp. 852002-51971_SCH5477799-a,0.264812971,0.003
Mycobacterium sp. 852002-53434_SCH5985345,0.05313113,0.291
Mycobacterium sp. 852013-50091_SCH5140682,0.021495004,0.621
Mycobacterium sp. 852013-51886_SCH5428379,0.189068841,0.016
Mycobacterium sp. 852014-50255_SCH5639931,0.155466038,0.028
Mycobacterium sp. 852014-52144_SCH5372336,0.116970185,0.077
Mycobacterium sp. 94-17,0.027748301,0.517
Mycobacterium sp. ACS1612,0.061786246,0.234
Mycobacterium sp. ACS4054,0.008191837,0.861
Mycobacterium sp. ACS4331,0.084134755,0.144
Mycobacterium sp. Aquia_213,0.012011397,0.769
Mycobacterium sp. Aquia_216,0.01711386,0.693
Mycobacterium sp. AT1,0.101329191,0.09
Mycobacterium sp. AZCC_0083,0.015692704,0.664
Mycobacterium sp. BK086,0.051840304,0.315
Mycobacterium sp. BK558,0.050811918,0.335
Mycobacterium sp. CSUR Q5927,0.004333396,0.916
Mycobacterium sp. D16Q16,0.13309428,0.058
Mycobacterium sp. DBP42,0.009769514,0.831
Mycobacterium sp. djl-10,0.083670843,0.166
Mycobacterium sp. DL440,0.355365673,0.001
Mycobacterium sp. DL592,0.047092074,0.308
Mycobacterium sp. DL99,0.007177624,0.849
Mycobacterium sp. DSM 3803,0.01992415,0.653
Mycobacterium sp. E136,0.222594733,0.007
Mycobacterium sp. E1386,0.115532247,0.078
Mycobacterium sp. E1715,0.246009299,0.003
Mycobacterium sp. E1747,0.03083056,0.517
Mycobacterium sp. E2238,0.059554618,0.258
Mycobacterium sp. E2327,0.043390547,0.381
Mycobacterium sp. E2462,0.092283776,0.131
Mycobacterium sp. E2479,0.26867256,0.001
Mycobacterium sp. E2497,0.071100538,0.195
Mycobacterium sp. E2699,0.00457541,0.901
Mycobacterium sp. E2733,0.071481439,0.197
Mycobacterium sp. E2989,0.211391953,0.008
Mycobacterium sp. E3198,0.00029401,0.997
Mycobacterium sp. E3247,0.136655005,0.037
Mycobacterium sp. E3251,0.045439484,0.347
Mycobacterium sp. E3298,0.049066598,0.319
Mycobacterium sp. E342,0.214281702,0.011
Mycobacterium sp. E740,0.007982667,0.82
Mycobacterium sp. E787,0.101608227,0.098
Mycobacterium sp. E796,0.035653192,0.483
Mycobacterium sp. E802,0.056045599,0.286
Mycobacterium sp. ELW1,0.016052531,0.703
Mycobacterium sp. ENV421,0.111681477,0.091
Mycobacterium sp. EPa45,0.046716996,0.295
Mycobacterium sp. EPG1,0.016406488,0.697
Mycobacterium sp. GA-1199,0.018705511,0.641
Mycobacterium sp. GA-1285,0.336627148,0.001
Mycobacterium sp. GA-1841,0.011494996,0.749
Mycobacterium sp. GA-1999,0.057445932,0.273
Mycobacterium sp. GA-2829,0.240110041,0.003
Mycobacterium sp. H4Y,0.022725739,0.607
Mycobacterium sp. IDR2000157661,0.046599331,0.361
Mycobacterium sp. IS-1496,0.006276939,0.861
Mycobacterium sp. IS-1556,0.03970363,0.438
Mycobacterium sp. IS-1590,0.088426408,0.123
Mycobacterium sp. IS-1742,0.003467649,0.94
Mycobacterium sp. IS-2888,0.027075611,0.55
Mycobacterium sp. IS-3022,0.075108796,0.167
Mycobacterium sp. IS-836,0.044134073,0.355
Mycobacterium sp. ITM-2016-00316,0.359507034,0.001
Mycobacterium sp. ITM-2016-00318,0.317120446,0.001
Mycobacterium sp. ITM-2017-0098,0.181298898,0.013
Mycobacterium sp. JS623,0.116278679,0.061
Mycobacterium sp. KBS0706,0.043677363,0.406
Mycobacterium sp. M26,0.008882045,0.843
Mycobacterium sp. MAC_011194_8550,0.097302733,0.116
Mycobacterium sp. MAC_080597_8934,0.118552358,0.063
Mycobacterium sp. Marseille-P9652,0.010940301,0.786
Mycobacterium sp. MBM,0.023805947,0.608
Mycobacterium sp. MFM001,0.032471274,0.488
Mycobacterium sp. MOTT36Y,0.264874417,0.002
Mycobacterium sp. MS1601,0.070735901,0.198
Mycobacterium sp. MYCO198283,0.007527954,0.853
Mycobacterium sp. NAZ190054,0.055256607,0.322
Mycobacterium sp. OAS707,0.123676112,0.049
Mycobacterium sp. OTB74,0.042014075,0.412
Mycobacterium sp. PO1,0.112185486,0.089
Mycobacterium sp. PO2,0.003315418,0.947
Mycobacterium sp. PS03-16,0.089760382,0.142
Mycobacterium sp. PSTR-4-N,0.225761676,0.008
Mycobacterium sp. QGD 101,0.067331246,0.242
Mycobacterium sp. Root135,0.043545151,0.376
Mycobacterium sp. Root265,0.200583647,0.013
Mycobacterium sp. RTGN5,0.248467872,0.003
Mycobacterium sp. shizuoka-1,0.029117441,0.514
Mycobacterium sp. SM1,0.018575475,0.687
Mycobacterium sp. SMC-2,0.131537114,0.045
Mycobacterium sp. SMC-4,0.124236732,0.06
Mycobacterium sp. SMC-8,0.017037458,0.695
Mycobacterium sp. Soil538,0.007672508,0.833
Mycobacterium sp. SP-6446,0.011624226,0.765
Mycobacterium sp. ST-F2,0.135101643,0.042
Mycobacterium sp. SVM_VP21,0.265600878,0.002
Mycobacterium sp. SWH-M1,0.116987401,0.066
Mycobacterium sp. SWH-M3,0.123394744,0.067
Mycobacterium sp. SWH-M5,0.197371216,0.006
Mycobacterium sp. THAF192,0.182686579,0.024
Mycobacterium sp. TKK-01-0059,0.277664897,0.002
Mycobacterium sp. TY815,0.112575038,0.071
Mycobacterium sp. UM_11,0.233869002,0.005
Mycobacterium sp. UM_3,0.054986761,0.309
Mycobacterium sp. UM_CSW,0.217983775,0.007
Mycobacterium sp. UM_Kg27,0.387906396,0.001
Mycobacterium sp. URHB0044,0.043805655,0.348
Mycobacterium sp. URHD0025,0.117498594,0.054
Mycobacterium sp. VKM Ac-1817D,0.049989369,0.364
Mycobacterium sp. WUMAC-025,0.31866802,0.001
Mycobacterium sp. WUMAC-067,0.294903802,0.001
Mycobacterium sp. WY10,0.086368395,0.141
Mycobacterium sp. Z3061,0.236183509,0.002
Mycobacterium spongiae,0.028881144,0.516
Mycobacterium stomatepiae,0.008470845,0.788
Mycobacterium szulgai,0.088445997,0.134
Mycobacterium talmoniae,0.068047569,0.234
Mycobacterium terramassiliense,0.200841509,0.008
Mycobacterium tilburgii,0.110290554,0.073
Mycobacterium timonense,0.195480095,0.005
Mycobacterium triplex,0.158629707,0.028
Mycobacterium tuberculosis,0.020075049,0.604
Mycobacterium tuberculosis complex sp. N0052,0.007442239,0.842
Mycobacterium ulcerans,0.019372908,0.624
Mycobacterium vicinigordonae,0.094666055,0.122
Mycobacterium xenopi,0.016303649,0.699
Mycobacterium yunnanensis,0.053351489,0.332
Mycobacteroides abscessus,0.312002991,0.002
Mycobacteroides chelonae,0.054073445,0.289
Mycobacteroides franklinii,0.076739364,0.16
Mycobacteroides salmoniphilum,0.127063477,0.045
Mycolicibacillus koreensis,0.002977243,0.926
Mycolicibacter algericus,0.068661496,0.217
Mycolicibacter arupensis,0.228574004,0.005
Mycolicibacter engbaekii,0.077821928,0.17
Mycolicibacter heraklionensis,0.19890722,0.023
Mycolicibacter hiberniae,0.037654151,0.412
Mycolicibacter icosiumassiliensis,0.090548363,0.125
Mycolicibacter kumamotonensis,0.165721624,0.018
Mycolicibacter longobardus,0.007537501,0.834
Mycolicibacter minnesotensis,0.035645824,0.395
Mycolicibacter nonchromogenicus,0.132463109,0.038
Mycolicibacter senuensis,0.193972114,0.013
Mycolicibacter sinensis,0.513441016,0.001
Mycolicibacter sp. MU0102,0.128792639,0.05
Mycolicibacter terrae,0.196583709,0.006
Mycolicibacterium agri,0.002225092,0.943
Mycolicibacterium aichiense,0.107349676,0.091
Mycolicibacterium alvei,0.01009768,0.821
Mycolicibacterium anyangense,0.112775473,0.072
Mycolicibacterium arabiense,0.261970963,0.001
Mycolicibacterium arenosum,0.007530775,0.86
Mycolicibacterium aromaticivorans,0.021757735,0.609
Mycolicibacterium arseniciresistens,0.122802794,0.062
Mycolicibacterium aubagnense,0.003220862,0.914
Mycolicibacterium aurantiacum,0.003752089,0.921
Mycolicibacterium aurum,0.138165048,0.035
Mycolicibacterium austroafricanum,0.021588877,0.636
Mycolicibacterium bacteremicum,0.088238363,0.145
Mycolicibacterium baixiangningiae,0.185806667,0.016
Mycolicibacterium boenickei,0.022217944,0.619
Mycolicibacterium brisbanense,0.033656488,0.436
Mycolicibacterium brumae,0.017645958,0.688
Mycolicibacterium canariasense,0.256123785,0.002
Mycolicibacterium celeriflavum,0.112187508,0.074
Mycolicibacterium chitae,0.024192066,0.549
Mycolicibacterium chlorophenolicum,0.089602066,0.132
Mycolicibacterium chubuense,0.007349889,0.88
Mycolicibacterium conceptionense,0.144416943,0.038
Mycolicibacterium confluentis,0.084065708,0.159
Mycolicibacterium cosmeticum,0.141339312,0.027
Mycolicibacterium crocinum,0.095403251,0.103
Mycolicibacterium diernhoferi,0.023422176,0.617
Mycolicibacterium doricum,0.001181055,0.982
Mycolicibacterium duvalii,0.098240393,0.119
Mycolicibacterium elephantis,0.080867882,0.155
Mycolicibacterium fallax,0.103479421,0.091
Mycolicibacterium farcinogenes,0.183706039,0.01
Mycolicibacterium flavescens,0.050523916,0.31
Mycolicibacterium fluoranthenivorans,0.118715886,0.064
Mycolicibacterium fortuitum,0.065151127,0.217
Mycolicibacterium frederiksbergense,0.008940862,0.817
Mycolicibacterium gadium,0.3864598,0.001
Mycolicibacterium gilvum,0.136941815,0.034
Mycolicibacterium goodii,0.137821502,0.052
Mycolicibacterium grossiae,0.12710848,0.05
Mycolicibacterium hassiacum,0.194255167,0.006
Mycolicibacterium helvum,0.109979016,0.074
Mycolicibacterium hippocampi,0.03439533,0.465
Mycolicibacterium hodleri,0.169616588,0.016
Mycolicibacterium holsaticum,0.016343644,0.641
Mycolicibacterium houstonense,0.061121432,0.265
Mycolicibacterium insubricum,0.332338491,0.001
Mycolicibacterium iranicum,0.134796698,0.034
Mycolicibacterium komanii,0.043103185,0.383
Mycolicibacterium komossense,0.165869158,0.014
Mycolicibacterium lacusdiani,0.118523148,0.073
Mycolicibacterium litorale,0.082153763,0.157
Mycolicibacterium llatzerense,0.186402632,0.007
Mycolicibacterium lutetiense,0.241826264,0.002
Mycolicibacterium madagascariense,0.150935709,0.027
Mycolicibacterium mageritense,0.044811956,0.344
Mycolicibacterium malmesburyense,0.073406629,0.181
Mycolicibacterium mengxianglii,0.193281578,0.012
Mycolicibacterium monacense,0.069917342,0.185
Mycolicibacterium moriokaense,0.041441822,0.38
Mycolicibacterium mucogenicum,0.120546093,0.061
Mycolicibacterium murale,0.087277214,0.133
Mycolicibacterium neoaurum,0.162502311,0.018
Mycolicibacterium neworleansense,0.084274138,0.136
Mycolicibacterium novocastrense,0.113764648,0.07
Mycolicibacterium obuense,0.002243563,0.958
Mycolicibacterium palauense,0.090001201,0.135
Mycolicibacterium pallens,0.113394614,0.083
Mycolicibacterium parafortuitum,0.298089108,0.002
Mycolicibacterium peregrinum,0.150449487,0.022
Mycolicibacterium phlei,0.427251676,0.001
Mycolicibacterium phocaicum,0.062999231,0.235
Mycolicibacterium porcinum,0.001315999,0.975
Mycolicibacterium poriferae,0.011228858,0.784
Mycolicibacterium psychrotolerans,0.343540071,0.001
Mycolicibacterium pulveris,0.006341206,0.851
Mycolicibacterium pyrenivorans,0.011972974,0.753
Mycolicibacterium rhodesiae,0.089831468,0.131
Mycolicibacterium rufum,0.141019761,0.037
Mycolicibacterium rutilum,0.046274349,0.339
Mycolicibacterium sarraceniae,0.131449781,0.048
Mycolicibacterium sediminis,0.395159515,0.001
Mycolicibacterium senegalense,0.219261481,0.008
Mycolicibacterium septicum,0.05069476,0.31
Mycolicibacterium setense,0.009381749,0.837
Mycolicibacterium smegmatis,0.115145971,0.062
Mycolicibacterium sp.,0.072092753,0.193
Mycolicibacterium sp. (ex Dasyatis americana),0.097381371,0.12
Mycolicibacterium sp. 018/SC-01/001,0.063151191,0.25
Mycolicibacterium sp. 050158,0.182163076,0.014
Mycolicibacterium sp. 050232,0.297403952,0.002
Mycolicibacterium sp. 120266,0.11732097,0.063
Mycolicibacterium sp. 120270,0.218505749,0.004
Mycolicibacterium sp. BiH015,0.514533741,0.001
Mycolicibacterium sp. BK556,0.088180885,0.127
Mycolicibacterium sp. BK634,0.190645673,0.011
Mycolicibacterium sp. CBMA 213,0.230296576,0.003
Mycolicibacterium sp. CBMA 226,0.004050004,0.907
Mycolicibacterium sp. CBMA 234,0.067297958,0.226
Mycolicibacterium sp. CBMA 295,0.123083701,0.065
Mycolicibacterium sp. CBMA 329,0.016699924,0.686
Mycolicibacterium sp. CBMA 334,0.124433348,0.064
Mycolicibacterium sp. CBMA 361,0.086329523,0.147
Mycolicibacterium sp. CH28,0.1488409,0.019
Mycolicibacterium sp. CR10,0.038956868,0.348
Mycolicibacterium sp. F2034L,0.167213094,0.018
Mycolicibacterium sp. GESEQ-9,0.031272512,0.513
Mycolicibacterium sp. GF69,0.281491011,0.001
Mycolicibacterium sp. HK-90,0.187121578,0.005
Mycolicibacterium sp. J2,0.03145999,0.52
Mycolicibacterium sp. lyk4-40-TYG-92,0.020164763,0.637
Mycolicibacterium sp. MU0050,0.057911381,0.258
Mycolicibacterium sp. MU0053,0.015182484,0.714
Mycolicibacterium sp. NCC-Tsukiji,0.089042097,0.14
Mycolicibacterium sp. ND9-15,0.036121581,0.438
Mycolicibacterium sp. NGTWS1803,0.097898338,0.091
Mycolicibacterium sp. P1-18,0.029917065,0.48
Mycolicibacterium sp. P1-5,0.051381792,0.263
Mycolicibacterium sp. P9-22,0.025069587,0.575
Mycolicibacterium sp. P9-64,0.002869636,0.931
Mycolicibacterium sp. PAM1,0.050511826,0.298
Mycolicibacterium sp. TUM20983,0.095861327,0.108
Mycolicibacterium sp. TUM20984,0.233558207,0.006
Mycolicibacterium sp. TUM20985,0.014535056,0.787
Mycolicibacterium sp. TY66,0.085344964,0.142
Mycolicibacterium sp. YH-1,0.011517262,0.742
Mycolicibacterium sphagni,0.137607771,0.034
Mycolicibacterium stellerae,0.153925667,0.021
Mycolicibacterium thermoresistibile,0.039218463,0.423
Mycolicibacterium tokaiense,0.055532298,0.273
Mycolicibacterium tusciae,0.328630412,0.001
Mycolicibacterium vaccae,0.22177513,0.007
Mycolicibacterium vanbaalenii,0.164796847,0.02
Mycolicibacterium vinylchloridicum,0.03851905,0.404
Mycolicibacterium vulneris,0.021784012,0.63
Mycolicibacterium wolinskyi,0.098600011,0.105
Mycolicibacterium xanthum,0.04959137,0.303
Mycoplana dimorpha,0.137839775,0.045
Mycoplana sp.,0.138459376,0.032
Mycoplana sp. BE70,0.087593708,0.119
Mycoplasmatales bacterium,0,1
Myroides guanonis,0.200366577,0.008
Myroides odoratus,0,1
Myroides pelagicus,0.19890722,0.023
Myroides sp. A21,0.22904919,0.004
Myxacorys californica,0.023492923,0.613
Myxococcaceae bacterium,0.203563071,0.014
Myxococcaceae bacterium JPH2,0.088052277,0.118
Myxococcales bacterium,0.136905262,0.054
Myxococcales bacterium 13_1_40CM_2_68_15,0.199715211,0.009
Myxococcales bacterium 68-20,0.185841545,0.009
Myxococcales bacterium FL481,0.072098144,0.201
Myxococcales bacterium LLY-WYZ-16_1,0.0996815,0.089
Myxococcales bacterium SG8_38,0.11441443,0.068
Myxococcales bacterium SG8_38_1,0.529821817,0.001
Myxococcota bacterium,0.450474125,0.001
Myxococcus dinghuensis,0.088785208,0.123
Myxococcus fulvus,0.086370081,0.139
Myxococcus guangdongensis,0.119950005,0.086
Myxococcus hansupus,0.080264335,0.141
Myxococcus landrumus,0.093809886,0.122
Myxococcus qinghaiensis,0.071969562,0.166
Myxococcus sp.,0.089142819,0.117
Myxococcus sp. AB025B,0.094477037,0.11
Myxococcus sp. AB036A,0.080820235,0.139
Myxococcus sp. AB056,0.109870578,0.093
Myxococcus sp. AM001,0.241086832,0.007
Myxococcus sp. AM009,0.073877981,0.153
Myxococcus sp. AM010,0.146509639,0.05
Myxococcus sp. AM011,0.103007802,0.101
Myxococcus sp. CA039A,0.085302846,0.121
Myxococcus sp. CA051A,0.077453882,0.182
Myxococcus sp. CA056,0.079826777,0.135
Myxococcus sp. MISCRS1,0.048080769,0.297
Myxococcus sp. MxC21-1,0.126672685,0.065
Myxococcus sp. NMCA1,0.102509623,0.104
Myxococcus sp. RHSTA-1-4,0.096720388,0.116
Myxococcus sp. SDU36,0.158705089,0.028
Myxococcus sp. XM-1-1-1,0.044019709,0.37
Myxococcus stipitatus,0.085438317,0.13
Myxococcus vastator,0.162453613,0.037
Myxococcus virescens,0.251725704,0.004
Myxococcus xanthus,0.092813684,0.111
Naasia aerilata,0.073681519,0.21
Naasia lichenicola,0.052946298,0.29
Naasia sp.,0.10172398,0.09
Naasia sp. SYSU D00057,0.619898339,0.001
Naasia sp. SYSU D00948,0.065527176,0.218
Nafulsella turpanensis,0.051551138,0.288
Nakamurella aerolata,0.126217129,0.054
Nakamurella alba,0.109164762,0.085
Nakamurella antarctica,0.190719197,0.014
Nakamurella deserti,0.03659283,0.455
Nakamurella endophytica,0.337437105,0.001
Nakamurella flava,0.233295138,0.002
Nakamurella flavida,0.028662697,0.524
Nakamurella lactea,0.144433659,0.034
Nakamurella leprariae,0.148275932,0.036
Nakamurella multipartita,0.218753216,0.004
Nakamurella panacisegetis,0.506167696,0.001
Nakamurella silvestris,0.173015561,0.023
Nakamurella sp.,0.069775148,0.223
Nakamurella sp. PAMC28650,0.102393537,0.1
Nanchangia anserum,0.18021304,0.019
Nannocystaceae bacterium,0.490435857,0.001
Nannocystis bainbridge,0.100230025,0.107
Nannocystis exedens,0.099604635,0.108
Nannocystis poenicansa,0.116549614,0.086
Nannocystis pusilla,0.119110366,0.077
Nannocystis radixulma,0.102864686,0.103
Nannocystis sp.,0.052703628,0.307
Nannocystis sp. ILAH1,0.080226642,0.162
Nannocystis sp. RBIL2,0.100024118,0.103
Nannocystis sp. SCPEA4,0.102255104,0.105
Natronoglycomyces albus,0.111123331,0.084
Natronogracilivirga saccharolytica,0.046867329,0.379
Natronospira bacteriovora,0.03330327,0.483
Natronospirillum operosum,0.224666372,0.008
Natronospirillum sp.,0.052344163,0.311
Natronosporangium hydrolyticum,0.282256244,0.002
Natronosporangium sp.,0.085703598,0.14
Naumannella cuiyingiana,0.182687469,0.027
Naumannella halotolerans,0.083299076,0.154
Naumannella sp. ID2617S,0.187191675,0.02
Negativicoccus succinicivorans,0.016611122,0.714
Negativicutes bacterium,0.444894181,0.001
Neisseria flava,0.141414795,0.044
Neisseria gonorrhoeae,0.356762623,0.001
Neisseria meningitidis,0.19890722,0.023
Neisseria sp.,0.004045646,0.945
Neisseriaceae bacterium,0.222035328,0.003
Neisseriaceae bacterium JH1-16,0.176416649,0.015
Neobacillus bataviensis,0.077240686,0.191
Neobacillus citreus,0.065366766,0.253
Neobacillus cucumis,0.123778537,0.065
Neobacillus dielmonensis,0.057873402,0.286
Neobacillus drentensis,0.621065032,0.001
Neobacillus endophyticus,0.034109262,0.476
Neobacillus fumarioli,0.013261121,0.776
Neobacillus kokaensis,0.216709826,0.004
Neobacillus mesonae,0.047993079,0.356
Neobacillus muris,0.02348175,0.594
Neobacillus niacini,0.038497302,0.442
Neobacillus notoginsengisoli,0.224414025,0.004
Neobacillus novalis,0.051640909,0.29
Neobacillus paridis,0.02459605,0.585
Neobacillus piezotolerans,0.047132167,0.34
Neobacillus rhizophilus,0.235109113,0.007
Neobacillus sedimentimangrovi,0.010169876,0.817
Neobacillus soli,0.047043502,0.377
Neobacillus sp.,0.078431074,0.176
Neobacillus sp. 114,0.034816209,0.445
Neobacillus sp. 179-C4.2 HS,0.027104233,0.555
Neobacillus sp. CF12,0.039483864,0.419
Neobacillus sp. DY30,0.06247051,0.244
Neobacillus sp. OS1-32,0.138667738,0.055
Neobacillus sp. PS2-9,0.058603743,0.266
Neobacillus sp. PS3-12,0.019959356,0.667
Neobacillus sp. PS3-34,0.119533375,0.056
Neobacillus sp. PS3-40,0.008213881,0.849
Neobacillus sp. YIM B06451,0.052341089,0.341
Neobacillus terrae,0.020856094,0.637
Neobacillus thermocopriae,0.018799053,0.63
Neobacillus vireti,0.063808446,0.253
Neolewinella aquimaris,0.230590421,0.008
Neolewinella lacunae,0.128606505,0.054
Neomegalonema perideroedes,0.282562774,0.003
Neomegalonema sp.,0.000661992,0.996
Neomicrococcus aestuarii,0.099496192,0.112
Neopoerus faecalis,0.19890722,0.023
Neopusillimonas aromaticivorans,0.203326539,0.006
Neopusillimonas maritima,0.457299864,0.001
Neorhizobium alkalisoli,0.039792427,0.447
Neorhizobium galegae,0.089018339,0.142
Neorhizobium lilium,0.120282743,0.061
Neorhizobium petrolearium,0.297199864,0.001
Neorhizobium sp. 2083,0.31410373,0.001
Neorhizobium sp. BETTINA12A,0.020938177,0.668
Neorhizobium sp. CSC1952,0.600445643,0.001
Neorhizobium sp. P12A,0.158508162,0.025
Neorhizobium sp. T6_25,0.081882676,0.17
Neorhizobium sp. T7_12,0.324661022,0.001
Neoroseomonas alkaliterrae,0.027186739,0.543
Neoroseomonas eburnea,0.112053417,0.082
Neoroseomonas lacus,0.143117274,0.042
Neoroseomonas marina,0.043742825,0.414
Neoroseomonas nitratireducens,0.41317183,0.001
Neoroseomonas oryzicola,0.01480725,0.74
Neoroseomonas soli,0.128486872,0.049
Neosynechococcus sphagnicola,0.289867783,0.001
Neptunicoccus sediminis,0.121107811,0.071
Neptuniibacter halophilus,0.021639892,0.625
Neptuniibacter sp. 1_MG-2023,0.19890722,0.023
Neptunomonas phycophila,0.2011286,0.009
Nesterenkonia alkaliphila,0.143234199,0.032
Nesterenkonia halotolerans,0.183712754,0.029
Nesterenkonia massiliensis,0,1
Nesterenkonia natronophila,0.073877981,0.153
Nesterenkonia sp.,0.255188901,0.003
Nesterenkonia sp. Act20,0.073877981,0.153
Nesterenkonia sp. NBAIMH1,0.073877981,0.153
Nevskia soli,0.338805567,0.001
Nevskia sp.,0.193167915,0.01
Nevskiaceae bacterium,0.062082759,0.25
Nevskiales bacterium,0.16785095,0.018
Nguyenibacter vanlangensis,0.168674712,0.017
Niabella aurantiaca,0.256827461,0.002
Niabella beijingensis,0.240853687,0.002
Niabella ginsengisoli,0.128244477,0.044
Niabella ginsenosidivorans,0.206234388,0.004
Niabella hibiscisoli,0.358247814,0.001
Niabella soli,0.395197038,0.001
Niabella sp.,0.162619261,0.022
Niabella sp. W65,0.112453307,0.084
Niabella yanshanensis,0.049945366,0.358
Niallia alba,0.036895003,0.452
Niallia circulans,0.333287047,0.001
Niallia endozanthoxylica,0.02991366,0.522
Niallia sp.,0.041983515,0.398
Niallia sp. NCCP-28,0.135379755,0.051
Niastella caeni,0.050681961,0.34
Niastella koreensis,0.040512045,0.414
Niastella populi,0.250367171,0.008
Niastella sp.,0.088917168,0.134
Niastella vici,0.088836015,0.136
Niastella yeongjuensis,0.288796645,0.001
Nibricoccus aquaticus,0.019572559,0.65
Nigerium sp.,0.073877981,0.153
Nisaea acidiphila,0.113205083,0.077
Nisaea sp.,0,1
Nitratireductor aestuarii,0.084983593,0.147
Nitratireductor alexandrii,0.015606224,0.711
Nitratireductor aquibiodomus,0.029166194,0.522
Nitratireductor aquimarinus,0.311695969,0.001
Nitratireductor arenosus,0.21297295,0.013
Nitratireductor indicus,0.122606438,0.07
Nitratireductor luteus,0.032621499,0.482
Nitratireductor mangrovi,0.310127441,0.001
Nitratireductor pacificus,0.423854692,0.001
